"Plot Title: treatment_p"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20231557, SEN S/N: 20231557)","RH, % (LGR S/N: 20231557, SEN S/N: 20231557)","Started (LGR S/N: 20231557)","Button Up (LGR S/N: 20231557)","Host Connected (LGR S/N: 20231557)","End Of File (LGR S/N: 20231557)"
1,10/02/17 07:17:48 PM,22.685,38.036,Logged,,,
2,10/02/17 07:17:49 PM,,,,Logged,,
3,10/02/17 07:18:48 PM,22.829,38.841,,,,
4,10/02/17 07:19:48 PM,22.661,36.263,,,,
5,10/02/17 07:20:48 PM,22.493,35.814,,,,
6,10/02/17 07:21:48 PM,22.373,36.282,,,,
7,10/02/17 07:22:48 PM,22.254,35.614,,,,
8,10/02/17 07:23:48 PM,22.230,35.708,,,,
9,10/02/17 07:24:48 PM,22.182,35.809,,,,
10,10/02/17 07:25:48 PM,22.158,35.960,,,,
11,10/02/17 07:26:48 PM,22.158,35.903,,,,
12,10/02/17 07:27:48 PM,22.134,35.977,,,,
13,10/02/17 07:28:48 PM,22.134,36.129,,,,
14,10/02/17 07:29:48 PM,22.110,36.248,,,,
15,10/02/17 07:30:48 PM,22.086,36.377,,,,
16,10/02/17 07:31:48 PM,22.062,36.402,,,,
17,10/02/17 07:32:48 PM,22.062,36.513,,,,
18,10/02/17 07:33:48 PM,22.039,36.539,,,,
19,10/02/17 07:34:48 PM,22.039,36.612,,,,
20,10/02/17 07:35:48 PM,22.039,36.667,,,,
21,10/02/17 07:36:48 PM,22.062,36.696,,,,
22,10/02/17 07:37:48 PM,22.039,36.839,,,,
23,10/02/17 07:38:48 PM,22.039,36.974,,,,
24,10/02/17 07:39:48 PM,22.039,36.938,,,,
25,10/02/17 07:40:48 PM,22.015,36.963,,,,
26,10/02/17 07:41:48 PM,22.015,37.026,,,,
27,10/02/17 07:42:48 PM,21.991,37.131,,,,
28,10/02/17 07:43:48 PM,21.991,37.175,,,,
29,10/02/17 07:44:48 PM,21.943,37.198,,,,
30,10/02/17 07:45:48 PM,21.919,37.293,,,,
31,10/02/17 07:46:48 PM,21.919,37.355,,,,
32,10/02/17 07:47:48 PM,21.919,37.311,,,,
33,10/02/17 07:48:48 PM,21.895,37.327,,,,
34,10/02/17 07:49:48 PM,21.895,37.406,,,,
35,10/02/17 07:50:48 PM,21.871,37.422,,,,
36,10/02/17 07:51:48 PM,21.871,37.491,,,,
37,10/02/17 07:52:48 PM,21.847,37.472,,,,
38,10/02/17 07:53:48 PM,21.823,37.593,,,,
39,10/02/17 07:54:48 PM,21.823,37.610,,,,
40,10/02/17 07:55:48 PM,21.823,37.679,,,,
41,10/02/17 07:56:48 PM,21.799,37.695,,,,
42,10/02/17 07:57:48 PM,21.776,37.685,,,,
43,10/02/17 07:58:48 PM,21.776,37.771,,,,
44,10/02/17 07:59:48 PM,21.776,37.711,,,,
45,10/02/17 08:00:48 PM,21.752,37.812,,,,
46,10/02/17 08:01:48 PM,21.776,37.814,,,,
47,10/02/17 08:02:48 PM,21.752,37.872,,,,
48,10/02/17 08:03:48 PM,21.752,37.838,,,,
49,10/02/17 08:04:48 PM,21.752,37.898,,,,
50,10/02/17 08:05:48 PM,21.752,37.907,,,,
51,10/02/17 08:06:48 PM,21.728,37.922,,,,
52,10/02/17 08:07:48 PM,21.728,37.956,,,,
53,10/02/17 08:08:48 PM,21.704,38.006,,,,
54,10/02/17 08:09:48 PM,21.704,37.972,,,,
55,10/02/17 08:10:48 PM,21.680,38.005,,,,
56,10/02/17 08:11:48 PM,21.680,38.005,,,,
57,10/02/17 08:12:48 PM,21.680,38.022,,,,
58,10/02/17 08:13:48 PM,21.656,38.071,,,,
59,10/02/17 08:14:48 PM,21.656,38.046,,,,
60,10/02/17 08:15:48 PM,21.656,38.071,,,,
61,10/02/17 08:16:48 PM,21.656,38.105,,,,
62,10/02/17 08:17:48 PM,21.656,38.097,,,,
63,10/02/17 08:18:48 PM,21.656,38.080,,,,
64,10/02/17 08:19:48 PM,21.632,38.189,,,,
65,10/02/17 08:20:48 PM,21.656,38.148,,,,
66,10/02/17 08:21:48 PM,21.656,38.274,,,,
67,10/02/17 08:22:48 PM,21.656,38.266,,,,
68,10/02/17 08:23:48 PM,21.656,38.241,,,,
69,10/02/17 08:24:48 PM,21.680,38.276,,,,
