"Plot Title: control_RA"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20231556, SEN S/N: 20231556)","RH, % (LGR S/N: 20231556, SEN S/N: 20231556)","Started (LGR S/N: 20231556)","Button Up (LGR S/N: 20231556)","Host Connected (LGR S/N: 20231556)","End Of File (LGR S/N: 20231556)"
1,10/02/17 07:23:54 PM,22.493,39.581,Logged,,,
2,10/02/17 07:23:55 PM,,,,Logged,,
3,10/02/17 07:24:54 PM,23.501,37.862,,,,
4,10/02/17 07:25:54 PM,24.634,36.453,,,,
5,10/02/17 07:26:54 PM,25.579,36.821,,,,
6,10/02/17 07:27:54 PM,26.285,34.496,,,,
7,10/02/17 07:28:54 PM,26.848,34.240,,,,
8,10/02/17 07:29:54 PM,27.265,30.926,,,,
9,10/02/17 07:30:54 PM,27.585,29.700,,,,
10,10/02/17 07:31:54 PM,27.831,28.949,,,,
11,10/02/17 07:32:54 PM,28.054,28.506,,,,
12,10/02/17 07:33:54 PM,28.202,28.079,,,,
13,10/02/17 07:34:54 PM,28.375,27.575,,,,
14,10/02/17 07:35:54 PM,28.499,27.494,,,,
15,10/02/17 07:36:54 PM,28.599,27.333,,,,
16,10/02/17 07:37:54 PM,28.673,27.108,,,,
17,10/02/17 07:38:54 PM,28.748,27.016,,,,
18,10/02/17 07:39:54 PM,28.798,26.907,,,,
19,10/02/17 07:40:54 PM,28.847,26.796,,,,
20,10/02/17 07:41:54 PM,28.922,26.676,,,,
21,10/02/17 07:42:54 PM,28.947,26.693,,,,
22,10/02/17 07:43:54 PM,28.997,26.628,,,,
23,10/02/17 07:44:54 PM,29.022,26.571,,,,
24,10/02/17 07:45:54 PM,29.047,26.563,,,,
25,10/02/17 07:46:54 PM,29.071,26.505,,,,
26,10/02/17 07:47:54 PM,29.096,26.472,,,,
27,10/02/17 07:48:54 PM,29.121,26.490,,,,
28,10/02/17 07:49:54 PM,29.121,26.439,,,,
29,10/02/17 07:50:54 PM,29.146,26.457,,,,
30,10/02/17 07:51:54 PM,29.146,26.406,,,,
31,10/02/17 07:52:54 PM,29.146,26.329,,,,
32,10/02/17 07:53:54 PM,29.171,26.321,,,,
33,10/02/17 07:54:54 PM,29.171,26.243,,,,
34,10/02/17 07:55:54 PM,29.196,26.365,,,,
35,10/02/17 07:56:54 PM,29.196,26.313,,,,
36,10/02/17 07:57:54 PM,29.221,26.228,,,,
37,10/02/17 07:58:54 PM,29.221,26.280,,,,
38,10/02/17 07:59:54 PM,29.221,26.254,,,,
39,10/02/17 08:00:54 PM,29.221,26.254,,,,
40,10/02/17 08:01:54 PM,29.246,26.193,,,,
41,10/02/17 08:02:54 PM,29.246,26.246,,,,
42,10/02/17 08:03:54 PM,29.246,26.193,,,,
43,10/02/17 08:04:54 PM,29.246,26.220,,,,
44,10/02/17 08:05:54 PM,29.246,26.220,,,,
45,10/02/17 08:06:54 PM,29.246,26.193,,,,
46,10/02/17 08:07:54 PM,29.246,26.167,,,,
47,10/02/17 08:08:54 PM,29.271,26.106,,,,
48,10/02/17 08:09:54 PM,29.246,26.167,,,,
49,10/02/17 08:10:54 PM,29.246,26.167,,,,
50,10/02/17 08:11:54 PM,29.271,26.159,,,,
51,10/02/17 08:12:54 PM,29.246,26.220,,,,
52,10/02/17 08:13:54 PM,29.246,26.140,,,,
53,10/02/17 08:14:54 PM,29.271,26.132,,,,
54,10/02/17 08:15:54 PM,29.271,26.106,,,,
55,10/02/17 08:16:54 PM,29.271,26.079,,,,
56,10/02/17 08:17:54 PM,29.271,26.106,,,,
57,10/02/17 08:18:54 PM,29.271,26.132,,,,
58,10/02/17 08:19:54 PM,29.271,26.106,,,,
59,10/02/17 08:20:54 PM,29.271,26.106,,,,
60,10/02/17 08:21:54 PM,29.271,26.079,,,,
61,10/02/17 08:22:54 PM,29.271,26.025,,,,
62,10/02/17 08:23:54 PM,29.271,26.052,,,,
63,10/02/17 08:24:54 PM,29.271,26.106,,,,
64,10/02/17 08:25:54 PM,29.271,25.998,,,,
65,10/02/17 08:26:54 PM,29.271,26.106,,,,
66,10/02/17 08:27:54 PM,29.271,26.132,,,,
67,10/02/17 08:28:54 PM,29.271,26.079,,,,
68,10/02/17 08:29:54 PM,29.296,26.177,,,,
69,10/02/17 08:30:54 PM,29.296,26.151,,,,
70,10/02/17 08:31:54 PM,29.296,26.124,,,,
71,10/02/17 08:32:54 PM,29.296,26.204,,,,
72,10/02/17 08:33:54 PM,29.296,26.256,,,,
73,10/02/17 08:34:54 PM,29.296,26.230,,,,
74,10/02/17 08:35:54 PM,29.296,26.308,,,,
75,10/02/17 08:36:54 PM,29.321,26.248,,,,
76,10/02/17 08:37:54 PM,29.296,26.333,,,,
77,10/02/17 08:38:54 PM,29.321,26.274,,,,
78,10/02/17 08:39:54 PM,29.321,26.402,,,,
79,10/02/17 08:40:54 PM,29.321,26.325,,,,
80,10/02/17 08:41:54 PM,29.321,26.427,,,,
81,10/02/17 08:42:54 PM,29.321,26.427,,,,
82,10/02/17 08:43:54 PM,29.321,26.427,,,,
83,10/02/17 08:44:54 PM,29.321,26.427,,,,
84,10/02/17 08:45:54 PM,29.321,26.427,,,,
85,10/02/17 08:46:54 PM,29.346,26.444,,,,
86,10/02/17 08:47:54 PM,29.346,26.469,,,,
87,10/02/17 08:48:54 PM,29.346,26.543,,,,
88,10/02/17 08:49:54 PM,29.346,26.519,,,,
89,10/02/17 08:50:54 PM,29.346,26.543,,,,
90,10/02/17 08:51:54 PM,29.346,26.592,,,,
91,10/02/17 08:52:54 PM,29.346,26.641,,,,
92,10/02/17 08:53:54 PM,29.346,26.617,,,,
93,10/02/17 08:54:54 PM,29.371,26.609,,,,
94,10/02/17 08:55:54 PM,29.371,26.609,,,,
95,10/02/17 08:56:54 PM,29.371,26.609,,,,
96,10/02/17 08:57:54 PM,29.371,26.633,,,,
97,10/02/17 08:58:54 PM,29.371,26.609,,,,
98,10/02/17 08:59:54 PM,29.371,26.584,,,,
99,10/02/17 09:00:54 PM,29.371,26.633,,,,
100,10/02/17 09:01:54 PM,29.371,26.584,,,,
101,10/02/17 09:02:54 PM,29.371,26.609,,,,
102,10/02/17 09:03:54 PM,29.371,26.633,,,,
103,10/02/17 09:04:54 PM,29.371,26.584,,,,
104,10/02/17 09:05:54 PM,29.396,26.625,,,,
105,10/02/17 09:06:54 PM,29.396,26.601,,,,
106,10/02/17 09:07:54 PM,29.396,26.601,,,,
107,10/02/17 09:08:54 PM,29.396,26.577,,,,
108,10/02/17 09:09:54 PM,29.396,26.577,,,,
109,10/02/17 09:10:54 PM,29.396,26.577,,,,
110,10/02/17 09:11:54 PM,29.396,26.601,,,,
111,10/02/17 09:12:54 PM,29.396,26.503,,,,
112,10/02/17 09:13:54 PM,29.421,26.495,,,,
113,10/02/17 09:14:54 PM,29.421,26.495,,,,
114,10/02/17 09:15:54 PM,29.396,26.503,,,,
115,10/02/17 09:16:54 PM,29.421,26.520,,,,
116,10/02/17 09:17:54 PM,29.421,26.495,,,,
117,10/02/17 09:18:54 PM,29.421,26.470,,,,
118,10/02/17 09:19:54 PM,29.421,26.544,,,,
119,10/02/17 09:20:54 PM,29.421,26.470,,,,
120,10/02/17 09:21:54 PM,29.421,26.470,,,,
121,10/02/17 09:22:54 PM,29.421,26.445,,,,
122,10/02/17 09:23:54 PM,29.421,26.445,,,,
123,10/02/17 09:24:54 PM,29.421,26.370,,,,
124,10/02/17 09:25:54 PM,29.421,26.345,,,,
125,10/02/17 09:26:54 PM,29.421,26.319,,,,
126,10/02/17 09:27:54 PM,29.446,26.234,,,,
127,10/02/17 09:28:54 PM,29.421,26.242,,,,
128,10/02/17 09:29:54 PM,29.446,26.260,,,,
129,10/02/17 09:30:54 PM,29.421,26.242,,,,
130,10/02/17 09:31:54 PM,29.446,26.234,,,,
131,10/02/17 09:32:54 PM,29.446,26.208,,,,
132,10/02/17 09:33:54 PM,29.446,26.182,,,,
133,10/02/17 09:34:54 PM,29.446,26.130,,,,
134,10/02/17 09:35:54 PM,29.446,26.156,,,,
135,10/02/17 09:36:54 PM,29.446,26.130,,,,
136,10/02/17 09:37:54 PM,29.446,26.077,,,,
137,10/02/17 09:38:54 PM,29.471,26.069,,,,
138,10/02/17 09:39:54 PM,29.446,25.996,,,,
139,10/02/17 09:40:54 PM,29.471,26.015,,,,
140,10/02/17 09:41:54 PM,29.471,25.961,,,,
141,10/02/17 09:42:54 PM,29.471,25.988,,,,
142,10/02/17 09:43:54 PM,29.471,25.933,,,,
143,10/02/17 09:44:54 PM,29.471,25.851,,,,
144,10/02/17 09:45:54 PM,29.471,25.823,,,,
145,10/02/17 09:46:54 PM,29.471,25.851,,,,
146,10/02/17 09:47:54 PM,29.471,25.767,,,,
147,10/02/17 09:48:54 PM,29.471,25.739,,,,
148,10/02/17 09:49:54 PM,29.471,25.682,,,,
149,10/02/17 09:50:54 PM,29.471,25.739,,,,
150,10/02/17 09:51:54 PM,29.496,25.730,,,,
151,10/02/17 09:52:54 PM,29.471,25.710,,,,
152,10/02/17 09:53:54 PM,29.471,25.682,,,,
153,10/02/17 09:54:54 PM,29.471,25.682,,,,
154,10/02/17 09:55:54 PM,29.471,25.653,,,,
155,10/02/17 09:56:54 PM,29.471,25.536,,,,
156,10/02/17 09:57:54 PM,29.471,25.566,,,,
157,10/02/17 09:58:54 PM,29.471,25.536,,,,
158,10/02/17 09:59:54 PM,29.471,25.507,,,,
159,10/02/17 10:00:54 PM,29.496,25.409,,,,
160,10/02/17 10:01:54 PM,29.496,25.409,,,,
161,10/02/17 10:02:54 PM,29.496,25.318,,,,
162,10/02/17 10:03:54 PM,29.496,25.287,,,,
163,10/02/17 10:04:54 PM,29.496,25.318,,,,
164,10/02/17 10:05:54 PM,29.496,25.348,,,,
165,10/02/17 10:06:54 PM,29.496,25.256,,,,
166,10/02/17 10:07:54 PM,29.496,25.162,,,,
167,10/02/17 10:08:54 PM,29.496,25.162,,,,
168,10/02/17 10:09:54 PM,29.496,25.162,,,,
169,10/02/17 10:10:54 PM,29.496,25.098,,,,
170,10/02/17 10:11:54 PM,29.496,25.034,,,,
171,10/02/17 10:12:54 PM,29.496,25.002,,,,
172,10/02/17 10:13:54 PM,29.496,25.002,,,,
173,10/02/17 10:14:54 PM,29.496,24.936,,,,
174,10/02/17 10:15:54 PM,29.496,24.903,,,,
175,10/02/17 10:16:54 PM,29.496,24.969,,,,
176,10/02/17 10:17:54 PM,29.496,24.903,,,,
177,10/02/17 10:18:54 PM,29.496,24.936,,,,
178,10/02/17 10:19:54 PM,29.496,24.903,,,,
179,10/02/17 10:20:54 PM,29.496,24.969,,,,
180,10/02/17 10:21:54 PM,29.496,24.936,,,,
181,10/02/17 10:22:54 PM,29.496,24.836,,,,
182,10/02/17 10:23:54 PM,29.496,24.869,,,,
183,10/02/17 10:24:54 PM,29.496,24.836,,,,
184,10/02/17 10:25:54 PM,29.496,24.802,,,,
185,10/02/17 10:26:54 PM,29.496,24.802,,,,
186,10/02/17 10:27:54 PM,29.496,24.734,,,,
187,10/02/17 10:28:54 PM,29.496,24.802,,,,
188,10/02/17 10:29:54 PM,29.496,24.734,,,,
189,10/02/17 10:30:54 PM,29.471,24.674,,,,
190,10/02/17 10:31:54 PM,29.471,24.743,,,,
191,10/02/17 10:32:54 PM,29.471,24.777,,,,
192,10/02/17 10:33:54 PM,29.471,24.708,,,,
193,10/02/17 10:34:54 PM,29.471,24.708,,,,
194,10/02/17 10:35:54 PM,29.471,24.743,,,,
195,10/02/17 10:36:54 PM,29.471,24.604,,,,
196,10/02/17 10:37:54 PM,29.471,24.639,,,,
197,10/02/17 10:38:54 PM,29.471,24.708,,,,
198,10/02/17 10:39:54 PM,29.471,24.674,,,,
199,10/02/17 10:40:54 PM,29.471,24.639,,,,
200,10/02/17 10:41:54 PM,29.471,24.568,,,,
201,10/02/17 10:42:54 PM,29.471,24.568,,,,
202,10/02/17 10:43:54 PM,29.471,24.461,,,,
203,10/02/17 10:44:54 PM,29.471,24.497,,,,
