"Plot Title: 20171008_treatment_partition"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20231555, SEN S/N: 20231555)","RH, % (LGR S/N: 20231555, SEN S/N: 20231555)","Started (LGR S/N: 20231555)","Button Up (LGR S/N: 20231555)","Host Connected (LGR S/N: 20231555)","End Of File (LGR S/N: 20231555)"
1,10/02/17 07:23:54 PM,22.901,48.110,Logged,,,
2,10/02/17 07:23:55 PM,,,,Logged,,
3,10/02/17 07:24:54 PM,24.827,47.519,,,,
4,10/02/17 07:25:54 PM,25.676,40.702,,,,
5,10/02/17 07:26:54 PM,26.237,37.078,,,,
6,10/02/17 07:27:54 PM,26.823,35.729,,,,
7,10/02/17 07:28:54 PM,27.536,31.193,,,,
8,10/02/17 07:29:54 PM,28.103,29.597,,,,
9,10/02/17 07:30:54 PM,28.599,28.456,,,,
10,10/02/17 07:31:54 PM,29.022,27.590,,,,
11,10/02/17 07:32:54 PM,29.421,26.761,,,,
12,10/02/17 07:33:54 PM,29.696,26.050,,,,
13,10/02/17 07:34:54 PM,29.822,25.538,,,,
14,10/02/17 07:35:54 PM,29.872,25.130,,,,
15,10/02/17 07:36:54 PM,29.872,24.808,,,,
16,10/02/17 07:37:54 PM,29.872,24.708,,,,
17,10/02/17 07:38:54 PM,29.897,24.631,,,,
18,10/02/17 07:39:54 PM,29.947,24.613,,,,
19,10/02/17 07:40:54 PM,30.048,24.509,,,,
20,10/02/17 07:41:54 PM,30.073,24.501,,,,
21,10/02/17 07:42:54 PM,30.249,24.440,,,,
22,10/02/17 07:43:54 PM,30.375,24.217,,,,
23,10/02/17 07:44:54 PM,30.552,24.082,,,,
24,10/02/17 07:45:54 PM,30.653,23.857,,,,
25,10/02/17 07:46:54 PM,30.780,23.575,,,,
26,10/02/17 07:47:54 PM,30.831,23.392,,,,
27,10/02/17 07:48:54 PM,30.881,23.246,,,,
28,10/02/17 07:49:54 PM,30.907,23.106,,,,
29,10/02/17 07:50:54 PM,30.907,23.062,,,,
30,10/02/17 07:51:54 PM,30.831,23.046,,,,
31,10/02/17 07:52:54 PM,30.755,22.939,,,,
32,10/02/17 07:53:54 PM,30.603,23.087,,,,
33,10/02/17 07:54:54 PM,30.502,23.213,,,,
34,10/02/17 07:55:54 PM,30.426,23.285,,,,
35,10/02/17 07:56:54 PM,30.401,23.507,,,,
36,10/02/17 07:57:54 PM,30.426,23.703,,,,
37,10/02/17 07:58:54 PM,30.527,23.626,,,,
38,10/02/17 07:59:54 PM,30.628,23.630,,,,
39,10/02/17 08:00:54 PM,30.780,23.368,,,,
40,10/02/17 08:01:54 PM,30.831,23.350,,,,
41,10/02/17 08:02:54 PM,30.881,23.203,,,,
42,10/02/17 08:03:54 PM,30.907,23.193,,,,
43,10/02/17 08:04:54 PM,30.932,22.917,,,,
