"Plot Title: control_5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20218144, SEN S/N: 20218144)","RH, % (LGR S/N: 20218144, SEN S/N: 20218144)","Started (LGR S/N: 20218144)","Button Up (LGR S/N: 20218144)","Button Down (LGR S/N: 20218144)","Stopped (LGR S/N: 20218144)","Host Connected (LGR S/N: 20218144)","End Of File (LGR S/N: 20218144)"
1,09/11/17 12:44:58 PM,26.359,40.947,Logged,,,,,
2,09/11/17 12:44:59 PM,,,,Logged,,,,
3,09/11/17 12:45:58 PM,26.163,40.874,,,,,,
4,09/11/17 12:46:58 PM,25.871,40.409,,,,,,
5,09/11/17 12:47:58 PM,25.628,40.869,,,,,,
6,09/11/17 12:48:58 PM,25.482,41.413,,,,,,
7,09/11/17 12:49:58 PM,25.361,41.699,,,,,,
8,09/11/17 12:50:58 PM,25.239,41.955,,,,,,
9,09/11/17 12:51:58 PM,25.118,42.218,,,,,,
10,09/11/17 12:52:58 PM,25.045,42.452,,,,,,
11,09/11/17 12:53:58 PM,24.948,42.640,,,,,,
12,09/11/17 12:54:58 PM,24.900,42.806,,,,,,
13,09/11/17 12:55:58 PM,24.876,43.019,,,,,,
14,09/11/17 12:56:58 PM,24.876,43.317,,,,,,
15,09/11/17 12:57:58 PM,24.924,43.702,,,,,,
16,09/11/17 12:58:58 PM,24.924,44.042,,,,,,
17,09/11/17 12:59:58 PM,24.973,44.330,,,,,,
18,09/11/17 01:00:58 PM,24.973,44.502,,,,,,
19,09/11/17 01:01:58 PM,24.997,44.526,,,,,,
20,09/11/17 01:02:58 PM,24.997,44.557,,,,,,
21,09/11/17 01:03:58 PM,24.973,44.580,,,,,,
22,09/11/17 01:04:58 PM,24.973,44.572,,,,,,
23,09/11/17 01:05:58 PM,24.948,44.556,,,,,,
24,09/11/17 01:06:58 PM,24.948,44.642,,,,,,
25,09/11/17 01:07:58 PM,24.900,44.632,,,,,,
26,09/11/17 01:08:58 PM,24.852,44.599,,,,,,
27,09/11/17 01:09:58 PM,24.779,44.503,,,,,,
28,09/11/17 01:10:58 PM,24.706,44.454,,,,,,
29,09/11/17 01:11:58 PM,24.658,44.421,,,,,,
30,09/11/17 01:12:58 PM,24.586,44.450,,,,,,
31,09/11/17 01:13:58 PM,24.537,44.464,,,,,,
32,09/11/17 01:14:58 PM,24.513,44.463,,,,,,
33,09/11/17 01:15:58 PM,24.489,44.447,,,,,,
34,09/11/17 01:16:58 PM,24.465,44.446,,,,,,
35,09/11/17 01:17:58 PM,24.465,44.501,,,,,,
36,09/11/17 01:18:58 PM,24.513,44.432,,,,,,
37,09/11/17 01:19:58 PM,24.489,44.315,,,,,,
38,09/11/17 01:20:58 PM,24.465,44.252,,,,,,
39,09/11/17 01:21:58 PM,24.441,44.205,,,,,,
40,09/11/17 01:22:58 PM,24.417,44.197,,,,,,
41,09/11/17 01:23:58 PM,24.441,44.198,,,,,,
42,09/11/17 01:24:58 PM,24.465,44.353,,,,,,
43,09/11/17 01:25:58 PM,24.537,44.495,,,,,,
44,09/11/17 01:26:58 PM,24.561,44.465,,,,,,
45,09/11/17 01:27:58 PM,24.586,44.396,,,,,,
46,09/11/17 01:28:58 PM,24.561,44.317,,,,,,
47,09/11/17 01:29:58 PM,24.586,44.256,,,,,,
48,09/11/17 01:30:58 PM,24.561,44.217,,,,,,
49,09/11/17 01:31:58 PM,24.561,44.217,,,,,,
