"Plot Title: Temp_W1"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20218133, SEN S/N: 20218133)","RH, % (LGR S/N: 20218133, SEN S/N: 20218133)","Button Down (LGR S/N: 20218133)","Stopped (LGR S/N: 20218133)","Started (LGR S/N: 20218133)","Button Up (LGR S/N: 20218133)","Host Connected (LGR S/N: 20218133)","End Of File (LGR S/N: 20218133)"
1,09/12/17 03:22:22 PM,23.693,60.049,,,,,,
2,09/12/17 03:22:48 PM,,,Logged,,,,,
3,09/12/17 03:22:51 PM,,,,Logged,,,,
4,09/12/17 03:37:52 PM,,,,,Logged,,,
5,09/12/17 03:37:53 PM,,,,,,Logged,,
6,09/12/17 03:38:22 PM,24.706,58.803,,,,,,
7,09/12/17 03:39:22 PM,24.779,57.270,,,,,,
8,09/12/17 03:40:22 PM,24.779,56.893,,,,,,
9,09/12/17 03:41:22 PM,24.803,57.606,,,,,,
10,09/12/17 03:42:22 PM,24.755,56.742,,,,,,
11,09/12/17 03:43:22 PM,24.731,56.234,,,,,,
12,09/12/17 03:44:22 PM,24.706,55.955,,,,,,
13,09/12/17 03:45:22 PM,24.682,55.722,,,,,,
14,09/12/17 03:46:22 PM,24.658,55.702,,,,,,
15,09/12/17 03:47:22 PM,24.634,55.721,,,,,,
16,09/12/17 03:48:22 PM,24.586,55.773,,,,,,
17,09/12/17 03:49:22 PM,24.561,55.858,,,,,,
18,09/12/17 03:50:22 PM,24.561,55.938,,,,,,
19,09/12/17 03:51:22 PM,24.513,56.044,,,,,,
20,09/12/17 03:52:22 PM,24.489,56.144,,,,,,
21,09/12/17 03:53:22 PM,24.465,56.245,,,,,,
22,09/12/17 03:54:22 PM,24.441,56.457,,,,,,
23,09/12/17 03:55:22 PM,24.417,56.545,,,,,,
24,09/12/17 03:56:22 PM,24.417,56.559,,,,,,
25,09/12/17 03:57:22 PM,24.392,56.593,,,,,,
26,09/12/17 03:58:22 PM,24.392,56.691,,,,,,
27,09/12/17 03:59:22 PM,24.368,56.795,,,,,,
28,09/12/17 04:00:22 PM,24.344,56.914,,,,,,
29,09/12/17 04:01:22 PM,24.344,57.028,,,,,,
30,09/12/17 04:02:22 PM,24.296,57.054,,,,,,
31,09/12/17 04:03:22 PM,24.272,57.031,,,,,,
32,09/12/17 04:04:22 PM,24.223,57.029,,,,,,
