"Plot Title: Temp_C2"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20218138, SEN S/N: 20218138)","RH, % (LGR S/N: 20218138, SEN S/N: 20218138)","Button Down (LGR S/N: 20218138)","Button Up (LGR S/N: 20218138)","Stopped (LGR S/N: 20218138)","Started (LGR S/N: 20218138)","End Of File (LGR S/N: 20218138)"
1,09/12/17 02:44:24 PM,23.814,53.683,,,,,
2,09/12/17 02:44:39 PM,,,Logged,,,,
3,09/12/17 02:44:41 PM,,,,Logged,,,
4,09/12/17 02:44:56 PM,,,Logged,,,,
5,09/12/17 02:44:59 PM,,,,,Logged,,
6,09/12/17 02:45:08 PM,,,,,,Logged,
7,09/12/17 02:45:09 PM,,,,Logged,,,
8,09/12/17 02:45:24 PM,24.417,65.344,,,,,
9,09/12/17 02:46:24 PM,25.094,56.364,,,,,
10,09/12/17 02:47:24 PM,25.167,52.144,,,,,
11,09/12/17 02:48:24 PM,24.997,51.163,,,,,
12,09/12/17 02:49:24 PM,24.803,51.125,,,,,
13,09/12/17 02:50:24 PM,24.586,51.930,,,,,
14,09/12/17 02:51:24 PM,24.417,52.281,,,,,
15,09/12/17 02:52:24 PM,24.248,53.074,,,,,
16,09/12/17 02:52:39 PM,,,Logged,,,,
17,09/12/17 02:52:42 PM,,,,,Logged,,
18,09/12/17 03:37:50 PM,,,,,,Logged,
19,09/12/17 03:37:51 PM,,,,Logged,,,
20,09/12/17 03:38:24 PM,24.973,59.072,,,,,
21,09/12/17 03:39:24 PM,25.167,57.594,,,,,
22,09/12/17 03:40:24 PM,25.191,57.200,,,,,
23,09/12/17 03:41:24 PM,25.239,56.709,,,,,
24,09/12/17 03:42:24 PM,25.142,54.845,,,,,
25,09/12/17 03:43:24 PM,25.045,54.832,,,,,
26,09/12/17 03:44:24 PM,24.973,55.040,,,,,
27,09/12/17 03:45:24 PM,24.900,55.315,,,,,
28,09/12/17 03:46:24 PM,24.852,55.640,,,,,
29,09/12/17 03:47:24 PM,24.779,55.924,,,,,
30,09/12/17 03:48:24 PM,24.755,56.173,,,,,
31,09/12/17 03:49:24 PM,24.706,56.446,,,,,
32,09/12/17 03:50:24 PM,24.634,56.730,,,,,
33,09/12/17 03:51:24 PM,24.586,57.127,,,,,
34,09/12/17 03:52:24 PM,24.561,57.293,,,,,
35,09/12/17 03:53:24 PM,24.513,57.482,,,,,
36,09/12/17 03:54:24 PM,24.513,58.180,,,,,
37,09/12/17 03:55:24 PM,24.513,57.841,,,,,
38,09/12/17 03:56:24 PM,24.489,57.802,,,,,
39,09/12/17 03:57:24 PM,24.441,57.889,,,,,
40,09/12/17 03:58:24 PM,24.417,58.110,,,,,
41,09/12/17 03:59:24 PM,24.417,58.374,,,,,
42,09/12/17 04:00:24 PM,24.368,58.528,,,,,
