"Plot Title: Temp_C6"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20218140, SEN S/N: 20218140)","RH, % (LGR S/N: 20218140, SEN S/N: 20218140)","Button Down (LGR S/N: 20218140)","Stopped (LGR S/N: 20218140)","Started (LGR S/N: 20218140)","Button Up (LGR S/N: 20218140)","End Of File (LGR S/N: 20218140)"
1,09/12/17 03:19:44 PM,24.610,56.820,,,,,
2,09/12/17 03:20:44 PM,24.973,56.903,,,,,
3,09/12/17 03:21:44 PM,25.094,54.795,Logged,,,,
4,09/12/17 03:21:47 PM,,,,Logged,,,
5,09/12/17 03:38:05 PM,,,,,Logged,,
6,09/12/17 03:38:06 PM,,,,,,Logged,
7,09/12/17 03:38:44 PM,24.706,58.087,,,,,
8,09/12/17 03:39:44 PM,24.731,57.698,,,,,
9,09/12/17 03:40:44 PM,24.755,59.529,,,,,
10,09/12/17 03:41:44 PM,24.706,57.524,,,,,
11,09/12/17 03:42:44 PM,24.634,56.871,,,,,
12,09/12/17 03:43:44 PM,24.586,56.643,,,,,
13,09/12/17 03:44:44 PM,24.513,56.411,,,,,
14,09/12/17 03:45:44 PM,24.489,56.737,,,,,
15,09/12/17 03:46:44 PM,24.441,57.019,,,,,
16,09/12/17 03:47:44 PM,24.417,57.285,,,,,
17,09/12/17 03:48:44 PM,24.392,57.540,,,,,
18,09/12/17 03:49:44 PM,24.344,57.716,,,,,
19,09/12/17 03:50:44 PM,24.320,57.888,,,,,
20,09/12/17 03:51:44 PM,24.296,58.092,,,,,
21,09/12/17 03:52:44 PM,24.272,58.284,,,,,
22,09/12/17 03:53:44 PM,24.248,58.430,,,,,
23,09/12/17 03:54:44 PM,24.248,59.057,,,,,
24,09/12/17 03:55:44 PM,24.248,58.764,,,,,
25,09/12/17 03:56:44 PM,24.248,58.684,,,,,
26,09/12/17 03:57:44 PM,24.223,58.770,,,,,
27,09/12/17 03:58:44 PM,24.175,58.960,,,,,
28,09/12/17 03:59:44 PM,24.151,59.162,,,,,
29,09/12/17 04:00:44 PM,24.127,59.318,,,,,
30,09/12/17 04:01:44 PM,24.103,59.576,,,,,
31,09/12/17 04:02:44 PM,24.079,59.429,,,,,
32,09/12/17 04:03:44 PM,24.031,59.306,,,,,
33,09/12/17 04:04:44 PM,24.006,59.362,,,,,
34,09/12/17 04:05:44 PM,23.958,59.508,,,,,
35,09/12/17 04:06:44 PM,23.934,59.649,,,,,
36,09/12/17 04:07:44 PM,23.910,59.671,,,,,
37,09/12/17 04:08:44 PM,23.910,59.688,,,,,
38,09/12/17 04:09:44 PM,23.910,59.774,,,,,
39,09/12/17 04:10:44 PM,24.103,60.454,,,,,
40,09/12/17 04:11:18 PM,,,Logged,,,,
41,09/12/17 04:11:21 PM,,,,Logged,,,
42,09/13/17 09:04:03 AM,,,,,Logged,,
43,09/13/17 09:04:04 AM,,,,,,Logged,
44,09/13/17 09:04:44 AM,23.045,37.787,,,,,
45,09/13/17 09:05:44 AM,22.613,37.582,,,,,
46,09/13/17 09:06:44 AM,23.117,46.056,,,,,
47,09/13/17 09:07:44 AM,23.237,42.571,,,,,
48,09/13/17 09:08:44 AM,22.853,37.340,,,,,
49,09/13/17 09:09:44 AM,22.278,38.089,,,,,
50,09/13/17 09:10:44 AM,21.656,41.840,,,,,
51,09/13/17 09:11:44 AM,21.155,44.895,,,,,
52,09/13/17 09:12:44 AM,20.702,44.763,,,,,
53,09/13/17 09:13:44 AM,20.297,44.793,,,,,
54,09/13/17 09:14:44 AM,19.987,44.832,,,,,
55,09/13/17 09:15:44 AM,19.678,44.053,,,,,
56,09/13/17 09:16:44 AM,19.392,43.474,,,,,
57,09/13/17 09:17:44 AM,19.178,42.864,,,,,
58,09/13/17 09:18:44 AM,18.964,42.328,,,,,
59,09/13/17 09:19:44 AM,18.774,42.026,,,,,
60,09/13/17 09:20:44 AM,18.607,41.792,,,,,
61,09/13/17 09:21:44 AM,18.512,42.052,,,,,
62,09/13/17 09:22:44 AM,18.512,42.848,,,,,
63,09/13/17 09:23:44 AM,18.512,43.122,,,,,
64,09/13/17 09:24:44 AM,18.560,45.578,,,,,
65,09/13/17 09:25:44 AM,18.607,47.012,,,,,
66,09/13/17 09:26:44 AM,18.584,46.887,,,,,
67,09/13/17 09:27:44 AM,18.560,46.645,,,,,
68,09/13/17 09:28:44 AM,18.536,46.777,,,,,
69,09/13/17 09:29:44 AM,18.512,46.637,,,,,
70,09/13/17 09:30:44 AM,18.488,46.004,,,,,
71,09/13/17 09:31:44 AM,18.441,45.950,,,,,
72,09/13/17 09:32:44 AM,18.441,46.288,,,,,
73,09/13/17 09:33:44 AM,18.393,45.934,,,,,
74,09/13/17 09:34:44 AM,18.346,45.506,,,,,
75,09/13/17 09:35:44 AM,18.370,45.453,,,,,
76,09/13/17 09:36:44 AM,18.465,45.950,,,,,
77,09/13/17 09:37:44 AM,18.560,46.537,,,,,
78,09/13/17 09:38:44 AM,18.631,47.714,,,,,
79,09/13/17 09:39:44 AM,18.655,47.225,,,,,
80,09/13/17 09:40:44 AM,18.607,46.368,,,,,
81,09/13/17 09:41:44 AM,18.631,45.839,,,,,
82,09/13/17 09:42:44 AM,18.607,45.183,,,,,
83,09/13/17 09:43:44 AM,18.655,44.509,,,,,
84,09/13/17 09:44:44 AM,18.655,43.866,,,,,
85,09/13/17 09:45:44 AM,18.655,43.298,,,,,
86,09/13/17 09:46:44 AM,18.631,43.366,,,,,
87,09/13/17 09:47:44 AM,18.679,43.526,,,,,
88,09/13/17 09:48:44 AM,18.750,43.837,,,,,
89,09/13/17 09:49:44 AM,18.869,44.262,,,,,
90,09/13/17 09:50:44 AM,18.988,44.945,,,,,
91,09/13/17 09:51:44 AM,19.059,46.986,,,,,
92,09/13/17 09:52:44 AM,19.059,47.119,,,,,
93,09/13/17 09:53:44 AM,18.988,46.153,,,,,
94,09/13/17 09:54:44 AM,18.893,45.058,,,,,
95,09/13/17 09:55:44 AM,18.798,43.943,,,,,
96,09/13/17 09:56:44 AM,18.774,44.624,,,,,
97,09/13/17 09:57:44 AM,18.726,44.866,,,,,
98,09/13/17 09:58:44 AM,18.679,44.903,,,,,
99,09/13/17 09:59:44 AM,18.631,45.137,,,,,
100,09/13/17 10:00:44 AM,18.679,45.686,,,,,
101,09/13/17 10:01:44 AM,18.750,45.979,,,,,
102,09/13/17 10:02:44 AM,18.821,46.157,,,,,
103,09/13/17 10:03:44 AM,18.893,46.716,,,,,
104,09/13/17 10:04:44 AM,19.012,50.765,,,,,
105,09/13/17 10:05:44 AM,19.250,62.797,,,,,
106,09/13/17 10:06:44 AM,19.487,71.077,,,,,
107,09/13/17 10:07:44 AM,19.797,76.794,,,,,
108,09/13/17 10:08:44 AM,20.035,79.586,,,,,
109,09/13/17 10:09:44 AM,20.178,79.278,,,,,
110,09/13/17 10:10:44 AM,20.297,78.835,,,,,
111,09/13/17 10:11:44 AM,20.249,74.309,,,,,
112,09/13/17 10:12:44 AM,20.106,69.237,,,,,
113,09/13/17 10:13:44 AM,19.963,66.185,,,,,
114,09/13/17 10:14:44 AM,19.940,67.253,,,,,
115,09/13/17 10:15:44 AM,19.940,68.599,,,,,
116,09/13/17 10:16:44 AM,19.940,70.002,,,,,
117,09/13/17 10:17:44 AM,19.963,71.348,,,,,
118,09/13/17 10:18:44 AM,20.011,72.471,,,,,
119,09/13/17 10:19:44 AM,20.035,73.711,,,,,
120,09/13/17 10:20:44 AM,20.082,73.752,,,,,
