Serial Number:20053111 --

Date Time - GMT +03:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Started,EOF,
2017-09-10 06:00:14,72.07,53.38,54.23,Logged,Logged, ,
2017-09-10 06:10:14,72.07,53.38,54.23, , , ,
2017-09-10 06:20:14,72.07,53.66,54.38, , , ,
2017-09-10 06:30:14,72.07,53.63,54.36, , , ,
2017-09-10 06:40:14,72.00,53.88,54.42, , , ,
2017-09-10 06:50:14,72.00,53.88,54.42, , , ,
2017-09-10 07:00:14,72.00,53.88,54.42, , , ,
2017-09-10 07:10:14,71.92,53.88,54.35, , , ,
2017-09-10 07:20:14,71.92,53.88,54.35, , , ,
2017-09-10 07:30:14,71.92,53.88,54.35, , , ,
2017-09-10 07:40:14,71.92,53.66,54.23, , , ,
2017-09-10 07:50:14,71.84,53.38,54.02, , , ,
2017-09-10 08:00:14,71.92,53.66,54.23, , , ,
2017-09-10 08:10:14,71.92,53.88,54.35, , , ,
2017-09-10 08:20:14,71.84,53.63,54.15, , , ,
2017-09-10 08:30:14,71.84,53.63,54.15, , , ,
2017-09-10 08:40:14,71.84,53.63,54.15, , , ,
2017-09-10 08:50:14,71.84,52.90,53.77, , , ,
2017-09-10 09:00:14,71.76,52.37,53.42, , , ,
2017-09-10 09:10:14,71.76,52.11,53.29, , , ,
2017-09-10 09:20:14,71.69,52.84,53.60, , , ,
2017-09-10 09:30:14,71.76,52.87,53.69, , , ,
2017-09-10 09:40:14,71.84,52.90,53.77, , , ,
2017-09-10 09:50:14,71.84,53.13,53.89, , , ,
2017-09-10 10:00:14,71.92,53.13,53.96, , , ,
2017-09-10 10:10:14,71.92,52.87,53.83, , , ,
2017-09-10 10:20:14,72.00,52.90,53.92, , , ,
2017-09-10 10:30:14,72.00,52.90,53.92, , , ,
2017-09-10 10:40:14,72.07,52.87,53.97, , , ,
2017-09-10 10:50:14,72.00,51.64,53.25, , , ,
2017-09-10 11:00:14,72.07,52.15,53.59, , , ,
2017-09-10 11:10:14,72.00,51.64,53.25, , , ,
2017-09-10 11:20:14,72.00,52.62,53.77, , , ,
2017-09-10 11:30:14,72.07,52.87,53.97, , , ,
2017-09-10 11:40:14,72.23,53.16,54.26, , , ,
2017-09-10 11:50:14,72.23,52.43,53.88, , , ,
2017-09-10 12:00:14,72.30,51.89,53.67, , , ,
2017-09-10 12:10:14,72.38,52.18,53.89, , , ,
2017-09-10 12:20:14,72.38,52.15,53.88, , , ,
2017-09-10 12:30:14,72.46,51.92,53.83, , , ,
2017-09-10 12:40:14,72.54,51.92,53.90, , , ,
2017-09-10 12:50:14,72.46,51.92,53.83, , , ,
2017-09-10 13:00:14,72.61,51.70,53.86, , , ,
2017-09-10 13:10:14,72.61,51.70,53.86, , , ,
2017-09-10 13:20:14,72.61,51.70,53.86, , , ,
2017-09-10 13:30:14,72.69,51.45,53.80, , , ,
2017-09-10 13:40:14,72.77,51.16,53.71, , , ,
2017-09-10 13:50:14,72.84,50.94,53.67, , , ,
2017-09-10 14:00:14,72.92,50.97,53.75, , , ,
2017-09-10 14:10:14,72.84,50.69,53.53, , , ,
2017-09-10 14:20:14,73.00,50.69,53.67, , , ,
2017-09-10 14:30:14,73.00,50.69,53.67, , , ,
2017-09-10 14:40:14,73.00,50.46,53.55, , , ,
2017-09-10 14:50:14,73.00,50.46,53.55, , , ,
2017-09-10 15:00:14,73.15,50.46,53.69, , , ,
2017-09-10 15:10:14,73.08,50.21,53.48, , , ,
2017-09-10 15:20:14,73.15,50.18,53.54, , , ,
2017-09-10 15:30:14,73.23,50.18,53.61, , , ,
2017-09-10 15:40:14,73.23,50.24,53.64, , , ,
2017-09-10 15:50:14,73.23,50.18,53.61, , , ,
2017-09-10 16:00:14,73.23,50.18,53.61, , , ,
2017-09-10 16:10:14,73.31,49.99,53.58, , , ,
2017-09-10 16:20:14,73.31,49.99,53.58, , , ,
2017-09-10 16:30:14,73.31,49.99,53.58, , , ,
2017-09-10 16:40:14,73.39,49.99,53.65, , , ,
2017-09-10 16:50:14,73.46,49.99,53.72, , , ,
2017-09-10 17:00:14,73.39,50.18,53.75, , , ,
2017-09-10 17:10:14,73.46,50.18,53.82, , , ,
2017-09-10 17:20:14,73.39,50.24,53.79, , , ,
2017-09-10 17:30:14,73.46,50.50,53.99, , , ,
2017-09-10 17:40:14,73.46,50.46,53.98, , , ,
2017-09-10 17:50:14,73.46,50.24,53.86, , , ,
2017-09-10 18:00:14,73.39,50.24,53.79, , , ,
2017-09-10 18:10:14,73.46,50.50,53.99, , , ,
2017-09-10 18:20:14,73.46,50.72,54.12, , , ,
2017-09-10 18:30:14,73.39,50.72,54.04, , , ,
2017-09-10 18:40:14,73.46,50.75,54.13, , , ,
2017-09-10 18:50:14,73.39,50.72,54.04, , , ,
2017-09-10 19:00:14,73.39,50.72,54.04, , , ,
2017-09-10 19:10:14,73.31,50.72,53.97, , , ,
2017-09-10 19:20:14,73.31,50.75,53.99, , , ,
2017-09-10 19:30:14,73.23,51.01,54.06, , , ,
2017-09-10 19:40:14,73.23,50.97,54.04, , , ,
2017-09-10 19:50:14,73.15,50.97,53.97, , , ,
2017-09-10 20:00:14,73.15,50.97,53.97, , , ,
2017-09-10 20:10:14,73.15,51.20,54.09, , , ,
2017-09-10 20:20:14,73.15,51.20,54.09, , , ,
2017-09-10 20:30:14,73.08,51.48,54.17, , , ,
2017-09-10 20:40:14,73.08,51.45,54.15, , , ,
2017-09-10 20:50:14,73.00,51.48,54.10, , , ,
2017-09-10 21:00:14,72.92,51.70,54.14, , , ,
2017-09-10 21:10:14,73.00,51.70,54.21, , , ,
2017-09-10 21:20:14,72.92,51.96,54.28, , , ,
2017-09-10 21:30:14,73.00,51.96,54.35, , , ,
2017-09-10 21:40:14,72.84,51.96,54.21, , , ,
2017-09-10 21:50:14,72.84,52.18,54.32, , , ,
2017-09-10 22:00:14,72.84,52.18,54.32, , , ,
2017-09-10 22:10:14,72.84,52.21,54.34, , , ,
2017-09-10 22:20:14,72.77,52.21,54.27, , , ,
2017-09-10 22:30:14,72.77,52.21,54.27, , , ,
2017-09-10 22:40:14,72.84,52.18,54.32, , , ,
2017-09-10 22:50:14,72.77,51.92,54.12, , , ,
2017-09-10 23:00:14,72.77,51.67,53.98, , , ,
2017-09-10 23:10:14,72.69,51.67,53.91, , , ,
2017-09-10 23:20:14,72.69,51.70,53.93, , , ,
2017-09-10 23:30:14,72.61,51.67,53.84, , , ,
2017-09-10 23:40:14,72.69,51.42,53.78, , , ,
2017-09-10 23:50:14,72.61,51.42,53.71, , , ,
