"Plot Title: Temp_W3"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20218129, SEN S/N: 20218129)","RH, % (LGR S/N: 20218129, SEN S/N: 20218129)","Button Down (LGR S/N: 20218129)","Stopped (LGR S/N: 20218129)","Started (LGR S/N: 20218129)","Button Up (LGR S/N: 20218129)","End Of File (LGR S/N: 20218129)"
1,09/12/17 03:24:47 PM,23.742,58.787,,,,,
2,09/12/17 03:24:59 PM,,,Logged,,,,
3,09/12/17 03:25:02 PM,,,,Logged,,,
4,09/12/17 03:38:29 PM,,,,,Logged,,
5,09/12/17 03:38:31 PM,,,,,,Logged,
6,09/12/17 03:38:47 PM,24.610,58.094,,,,,
7,09/12/17 03:39:47 PM,24.755,57.527,,,,,
8,09/12/17 03:40:47 PM,24.827,57.812,,,,,
9,09/12/17 03:41:47 PM,24.755,56.573,,,,,
10,09/12/17 03:42:47 PM,24.610,55.939,,,,,
11,09/12/17 03:43:47 PM,24.489,55.916,,,,,
12,09/12/17 03:44:47 PM,24.368,55.801,,,,,
13,09/12/17 03:45:47 PM,24.272,56.567,,,,,
14,09/12/17 03:46:47 PM,24.223,56.929,,,,,
15,09/12/17 03:47:47 PM,24.175,57.343,,,,,
16,09/12/17 03:48:47 PM,24.127,57.604,,,,,
17,09/12/17 03:49:47 PM,24.079,57.915,,,,,
18,09/12/17 03:50:47 PM,24.031,58.140,,,,,
19,09/12/17 03:51:47 PM,24.006,58.424,,,,,
20,09/12/17 03:52:47 PM,23.982,58.635,,,,,
21,09/12/17 03:53:47 PM,23.958,58.864,,,,,
22,09/12/17 03:54:47 PM,23.934,59.130,,,,,
23,09/12/17 03:55:47 PM,23.934,59.049,,,,,
24,09/12/17 03:56:47 PM,23.934,59.032,,,,,
25,09/12/17 03:57:47 PM,23.910,59.218,,,,,
26,09/12/17 03:58:47 PM,23.910,59.418,,,,,
27,09/12/17 03:59:47 PM,23.910,59.586,,,,,
28,09/12/17 04:00:47 PM,23.886,59.762,,,,,
29,09/12/17 04:01:47 PM,23.886,59.797,,,,,
30,09/12/17 04:02:47 PM,23.862,59.479,,,,,
31,09/12/17 04:03:47 PM,23.838,59.418,,,,,
32,09/12/17 04:04:47 PM,23.814,59.541,,,,,
33,09/12/17 04:05:47 PM,23.790,59.648,,,,,
34,09/12/17 04:06:47 PM,23.766,59.790,,,,,
35,09/12/17 04:07:47 PM,23.766,59.773,,,,,
36,09/12/17 04:08:47 PM,23.742,59.847,,,,,
37,09/12/17 04:09:47 PM,23.742,59.951,,,,,
38,09/12/17 04:10:47 PM,23.838,60.605,,,,,
39,09/12/17 04:11:47 PM,23.958,60.094,,,,,
40,09/12/17 04:12:47 PM,24.006,59.666,,,,,
41,09/12/17 04:13:47 PM,24.055,59.351,,,,,
42,09/12/17 04:14:47 PM,24.127,59.069,,,,,
43,09/12/17 04:15:47 PM,24.199,58.824,,,,,
44,09/12/17 04:16:47 PM,24.248,57.724,,,,,
45,09/12/17 04:17:47 PM,24.248,55.766,,,,,
46,09/12/17 04:18:47 PM,24.199,53.845,,,,,
47,09/12/17 04:19:47 PM,24.127,52.669,,,,,
48,09/12/17 04:20:38 PM,,,Logged,,,,
49,09/12/17 04:20:41 PM,,,,Logged,,,
50,09/13/17 08:59:36 AM,,,,,Logged,,
51,09/13/17 08:59:37 AM,,,,,,Logged,
52,09/13/17 08:59:47 AM,25.579,60.106,,,,,
53,09/13/17 09:00:47 AM,26.628,56.185,,,,,
54,09/13/17 09:01:47 AM,27.216,47.967,,,,,
55,09/13/17 09:02:47 AM,27.585,45.148,,,,,
56,09/13/17 09:03:47 AM,27.831,44.087,,,,,
57,09/13/17 09:04:47 AM,28.029,43.093,,,,,
58,09/13/17 09:05:47 AM,28.153,42.180,,,,,
59,09/13/17 09:06:47 AM,28.252,41.969,,,,,
60,09/13/17 09:07:47 AM,28.326,41.886,,,,,
61,09/13/17 09:08:47 AM,28.375,41.255,,,,,
62,09/13/17 09:09:47 AM,28.400,41.294,,,,,
63,09/13/17 09:10:47 AM,28.400,40.989,,,,,
64,09/13/17 09:11:47 AM,28.425,40.739,,,,,
65,09/13/17 09:12:47 AM,28.450,40.740,,,,,
66,09/13/17 09:13:47 AM,28.450,40.588,,,,,
67,09/13/17 09:14:47 AM,28.475,40.383,,,,,
68,09/13/17 09:15:47 AM,28.450,39.872,,,,,
69,09/13/17 09:16:47 AM,28.400,39.197,,,,,
70,09/13/17 09:17:47 AM,28.400,40.031,,,,,
71,09/13/17 09:18:47 AM,28.400,40.518,,,,,
72,09/13/17 09:19:47 AM,28.351,40.768,,,,,
73,09/13/17 09:20:47 AM,28.375,40.502,,,,,
74,09/13/17 09:21:47 AM,28.425,40.937,,,,,
75,09/13/17 09:22:47 AM,28.475,41.052,,,,,
76,09/13/17 09:23:47 AM,28.524,40.856,,,,,
77,09/13/17 09:24:47 AM,28.475,39.690,,,,,
78,09/13/17 09:25:47 AM,28.375,39.916,,,,,
79,09/13/17 09:26:47 AM,28.301,39.838,,,,,
80,09/13/17 09:27:47 AM,28.227,38.605,,,,,
81,09/13/17 09:28:47 AM,28.128,38.578,,,,,
82,09/13/17 09:29:47 AM,28.054,38.638,,,,,
83,09/13/17 09:30:47 AM,28.054,39.280,,,,,
84,09/13/17 09:31:47 AM,28.029,39.210,,,,,
85,09/13/17 09:32:47 AM,28.004,39.478,,,,,
86,09/13/17 09:33:47 AM,27.955,39.859,,,,,
87,09/13/17 09:34:47 AM,27.930,39.415,,,,,
88,09/13/17 09:35:47 AM,27.905,38.641,,,,,
89,09/13/17 09:36:47 AM,27.757,38.628,,,,,
90,09/13/17 09:37:47 AM,27.683,39.076,,,,,
91,09/13/17 09:38:47 AM,27.609,39.321,,,,,
92,09/13/17 09:39:47 AM,27.609,39.644,,,,,
93,09/13/17 09:40:47 AM,27.683,40.264,,,,,
94,09/13/17 09:41:47 AM,27.757,39.854,,,,,
95,09/13/17 09:42:47 AM,27.881,40.178,,,,,
96,09/13/17 09:43:47 AM,28.004,40.409,,,,,
97,09/13/17 09:44:47 AM,28.227,40.658,,,,,
98,09/13/17 09:45:47 AM,28.524,40.278,,,,,
99,09/13/17 09:46:47 AM,28.624,39.088,,,,,
100,09/13/17 09:47:47 AM,28.648,38.750,,,,,
101,09/13/17 09:48:47 AM,28.450,38.798,,,,,
102,09/13/17 09:49:47 AM,28.252,39.047,,,,,
103,09/13/17 09:50:47 AM,28.054,38.979,,,,,
104,09/13/17 09:51:47 AM,27.831,39.050,,,,,
105,09/13/17 09:52:47 AM,27.683,39.361,,,,,
106,09/13/17 09:53:47 AM,27.585,39.482,,,,,
107,09/13/17 09:54:47 AM,27.609,40.848,,,,,
108,09/13/17 09:55:47 AM,27.659,40.629,,,,,
109,09/13/17 09:56:47 AM,27.831,40.116,,,,,
110,09/13/17 09:57:47 AM,28.153,46.872,,,,,
111,09/13/17 09:58:47 AM,28.054,41.278,,,,,
112,09/13/17 09:59:47 AM,27.831,40.535,,,,,
113,09/13/17 10:00:47 AM,27.856,41.547,,,,,
114,09/13/17 10:01:47 AM,28.029,41.795,,,,,
115,09/13/17 10:02:47 AM,28.078,41.911,,,,,
116,09/13/17 10:03:47 AM,28.004,41.611,,,,,
117,09/13/17 10:04:47 AM,27.905,41.061,,,,,
118,09/13/17 10:05:47 AM,27.807,41.431,,,,,
119,09/13/17 10:06:47 AM,27.930,42.289,,,,,
120,09/13/17 10:07:47 AM,28.153,42.303,,,,,
121,09/13/17 10:08:47 AM,28.549,42.675,,,,,
122,09/13/17 10:09:47 AM,28.822,42.522,,,,,
123,09/13/17 10:10:47 AM,28.773,42.674,,,,,
124,09/13/17 10:11:47 AM,28.624,43.494,,,,,
125,09/13/17 10:12:47 AM,28.450,42.959,,,,,
126,09/13/17 10:13:47 AM,28.524,43.947,,,,,
127,09/13/17 10:14:47 AM,28.723,43.860,,,,,
128,09/13/17 10:15:47 AM,28.922,43.931,,,,,
129,09/13/17 10:16:47 AM,29.047,44.024,,,,,
130,09/13/17 10:17:47 AM,29.121,43.860,,,,,
131,09/13/17 10:18:47 AM,28.997,43.413,,,,,
132,09/13/17 10:19:47 AM,28.822,42.591,,,,,
133,09/13/17 10:20:47 AM,28.599,42.615,,,,,
134,09/13/17 10:21:47 AM,28.425,42.772,,,,,
135,09/13/17 10:22:47 AM,28.227,42.782,,,,,
136,09/13/17 10:23:47 AM,28.078,43.546,,,,,
137,09/13/17 10:24:47 AM,28.004,43.999,,,,,
138,09/13/17 10:25:47 AM,28.128,44.209,,,,,
139,09/13/17 10:26:47 AM,28.351,44.004,,,,,
140,09/13/17 10:27:47 AM,28.375,43.674,,,,,
141,09/13/17 10:28:47 AM,28.276,43.490,,,,,
142,09/13/17 10:29:47 AM,28.128,43.368,,,,,
143,09/13/17 10:30:47 AM,28.103,43.429,,,,,
144,09/13/17 10:31:47 AM,28.252,43.466,,,,,
145,09/13/17 10:32:47 AM,28.475,43.333,,,,,
146,09/13/17 10:33:47 AM,28.624,43.143,,,,,
147,09/13/17 10:34:47 AM,28.599,42.878,,,,,
148,09/13/17 10:35:47 AM,28.499,42.728,,,,,
149,09/13/17 10:36:47 AM,28.351,42.170,,,,,
150,09/13/17 10:37:47 AM,28.301,42.422,,,,,
151,09/13/17 10:38:47 AM,28.425,42.448,,,,,
152,09/13/17 10:39:47 AM,28.624,42.216,,,,,
153,09/13/17 10:40:47 AM,28.872,41.893,,,,,
154,09/13/17 10:41:47 AM,28.997,41.744,,,,,
155,09/13/17 10:42:47 AM,28.897,41.756,,,,,
156,09/13/17 10:43:47 AM,28.748,41.622,,,,,
157,09/13/17 10:44:47 AM,28.624,41.696,,,,,
158,09/13/17 10:45:47 AM,28.673,41.697,,,,,
159,09/13/17 10:46:47 AM,28.847,41.709,,,,,
160,09/13/17 10:47:47 AM,28.947,41.406,,,,,
161,09/13/17 10:48:47 AM,28.847,41.389,,,,,
162,09/13/17 10:49:47 AM,28.698,41.332,,,,,
163,09/13/17 10:50:47 AM,28.599,41.603,,,,,
164,09/13/17 10:51:47 AM,28.648,42.017,,,,,
165,09/13/17 10:52:47 AM,28.822,41.419,,,,,
166,09/13/17 10:53:47 AM,28.798,40.802,,,,,
167,09/13/17 10:54:47 AM,28.698,41.073,,,,,
168,09/13/17 10:55:47 AM,28.599,41.581,,,,,
169,09/13/17 10:56:47 AM,28.599,41.855,,,,,
170,09/13/17 10:57:47 AM,28.798,41.998,,,,,
171,09/13/17 10:58:47 AM,29.047,42.220,,,,,
172,09/13/17 10:59:47 AM,29.246,42.057,,,,,
173,09/13/17 11:00:47 AM,29.496,41.933,,,,,
174,09/13/17 11:01:47 AM,29.521,41.704,,,,,
175,09/13/17 11:02:47 AM,29.396,41.838,,,,,
176,09/13/17 11:03:47 AM,29.271,41.529,,,,,
177,09/13/17 11:04:47 AM,29.146,41.885,,,,,
178,09/13/17 11:05:47 AM,29.071,42.699,,,,,
179,09/13/17 11:06:47 AM,28.972,42.967,,,,,
180,09/13/17 11:07:47 AM,28.922,42.803,,,,,
181,09/13/17 11:08:47 AM,28.847,43.439,,,,,
182,09/13/17 11:09:47 AM,28.798,43.887,,,,,
183,09/13/17 11:10:47 AM,28.748,44.004,,,,,
184,09/13/17 11:11:47 AM,28.673,44.009,,,,,
185,09/13/17 11:12:47 AM,28.648,44.358,,,,,
186,09/13/17 11:13:47 AM,28.624,44.792,,,,,
187,09/13/17 11:14:47 AM,28.549,44.579,,,,,
188,09/13/17 11:15:47 AM,28.524,45.080,,,,,
189,09/13/17 11:16:47 AM,28.499,45.226,,,,,
190,09/13/17 11:17:47 AM,28.475,45.332,,,,,
191,09/13/17 11:18:47 AM,28.450,45.678,,,,,
192,09/13/17 11:19:47 AM,28.450,45.895,,,,,
193,09/13/17 11:20:47 AM,28.425,46.205,,,,,
194,09/13/17 11:21:47 AM,28.425,46.444,,,,,
195,09/13/17 11:22:47 AM,28.425,46.538,,,,,
196,09/13/17 11:23:47 AM,28.400,46.656,,,,,
197,09/13/17 11:24:47 AM,28.400,47.232,,,,,
198,09/13/17 11:25:47 AM,28.400,47.695,,,,,
199,09/13/17 11:26:47 AM,28.400,47.949,,,,,
200,09/13/17 11:27:47 AM,28.450,48.164,,,,,
201,09/13/17 11:28:47 AM,28.450,48.100,,,,,
202,09/13/17 11:29:47 AM,28.450,47.926,,,,,
203,09/13/17 11:30:47 AM,28.475,47.965,,,,,
204,09/13/17 11:31:47 AM,28.475,48.066,,,,,
205,09/13/17 11:32:47 AM,28.499,48.114,,,,,
206,09/13/17 11:33:47 AM,28.499,48.289,,,,,
207,09/13/17 11:34:47 AM,28.475,47.132,,,,,
208,09/13/17 11:35:47 AM,28.450,47.458,,,,,
209,09/13/17 11:36:47 AM,28.450,47.298,,,,,
210,09/13/17 11:37:47 AM,28.400,47.135,,,,,
211,09/13/17 11:38:47 AM,28.375,47.327,,,,,
212,09/13/17 11:39:47 AM,28.375,47.666,,,,,
213,09/13/17 11:40:47 AM,28.351,47.246,,,,,
214,09/13/17 11:41:47 AM,28.326,47.173,,,,,
215,09/13/17 11:42:47 AM,28.326,47.033,,,,,
216,09/13/17 11:43:47 AM,28.326,47.341,,,,,
217,09/13/17 11:44:47 AM,28.301,46.113,,,,,
218,09/13/17 11:45:47 AM,28.276,46.777,,,,,
219,09/13/17 11:46:47 AM,28.252,47.176,,,,,
220,09/13/17 11:47:47 AM,28.252,46.784,,,,,
221,09/13/17 11:48:47 AM,28.252,47.115,,,,,
222,09/13/17 11:49:47 AM,28.252,47.754,,,,,
223,09/13/17 11:50:47 AM,28.252,48.237,,,,,
224,09/13/17 11:51:47 AM,28.276,48.424,,,,,
225,09/13/17 11:52:47 AM,28.252,47.682,,,,,
226,09/13/17 11:53:47 AM,28.227,48.142,,,,,
227,09/13/17 11:54:47 AM,28.227,47.573,,,,,
228,09/13/17 11:55:47 AM,28.227,47.996,,,,,
229,09/13/17 11:56:47 AM,28.227,47.689,,,,,
230,09/13/17 11:57:47 AM,28.202,47.058,,,,,
231,09/13/17 11:58:47 AM,28.202,47.015,,,,,
232,09/13/17 11:59:47 AM,28.202,47.526,,,,,
233,09/13/17 12:00:47 PM,28.227,47.779,,,,,
234,09/13/17 12:01:47 PM,28.227,47.635,,,,,
235,09/13/17 12:02:47 PM,28.227,47.914,,,,,
236,09/13/17 12:03:47 PM,28.227,48.308,,,,,
237,09/13/17 12:04:47 PM,28.252,48.181,,,,,
238,09/13/17 12:05:47 PM,28.252,47.610,,,,,
239,09/13/17 12:06:47 PM,28.276,48.620,,,,,
240,09/13/17 12:07:47 PM,28.252,48.900,,,,,
241,09/13/17 12:08:47 PM,28.252,48.163,,,,,
242,09/13/17 12:09:47 PM,28.252,48.126,,,,,
243,09/13/17 12:10:47 PM,28.227,47.034,,,,,
244,09/13/17 12:11:47 PM,28.227,47.671,,,,,
245,09/13/17 12:12:47 PM,28.202,47.446,,,,,
246,09/13/17 12:13:47 PM,28.177,47.461,,,,,
247,09/13/17 12:14:47 PM,28.177,47.524,,,,,
248,09/13/17 12:15:47 PM,28.177,47.586,,,,,
249,09/13/17 12:16:47 PM,28.177,47.604,,,,,
250,09/13/17 12:17:47 PM,28.153,47.424,,,,,
251,09/13/17 12:18:47 PM,28.153,47.799,,,,,
252,09/13/17 12:19:47 PM,28.153,47.971,,,,,
253,09/13/17 12:20:47 PM,28.128,47.978,,,,,
254,09/13/17 12:21:47 PM,28.128,47.987,,,,,
255,09/13/17 12:22:47 PM,28.128,48.096,,,,,
256,09/13/17 12:23:47 PM,28.128,47.960,,,,,
257,09/13/17 12:24:47 PM,28.128,47.978,,,,,
258,09/13/17 12:25:47 PM,28.128,47.761,,,,,
259,09/13/17 12:26:47 PM,28.128,47.851,,,,,
260,09/13/17 12:27:47 PM,28.128,48.492,,,,,
261,09/13/17 12:28:47 PM,28.153,48.663,,,,,
262,09/13/17 12:29:47 PM,28.177,49.323,,,,,
263,09/13/17 12:30:47 PM,28.202,49.433,,,,,
264,09/13/17 12:31:47 PM,28.227,49.165,,,,,
265,09/13/17 12:32:47 PM,28.227,49.079,,,,,
266,09/13/17 12:33:47 PM,28.252,49.401,,,,,
267,09/13/17 12:34:47 PM,28.276,49.018,,,,,
268,09/13/17 12:35:47 PM,28.276,49.008,,,,,
269,09/13/17 12:36:47 PM,28.276,48.147,,,,,
270,09/13/17 12:37:47 PM,28.301,48.679,,,,,
271,09/13/17 12:38:47 PM,28.301,48.520,,,,,
272,09/13/17 12:39:47 PM,28.276,48.257,,,,,
273,09/13/17 12:40:47 PM,28.252,48.072,,,,,
274,09/13/17 12:41:47 PM,28.227,48.363,,,,,
275,09/13/17 12:42:47 PM,28.202,48.454,,,,,
276,09/13/17 12:43:47 PM,28.177,48.019,,,,,
277,09/13/17 12:44:47 PM,28.177,47.838,,,,,
278,09/13/17 12:45:47 PM,28.153,47.844,,,,,
279,09/13/17 12:46:47 PM,28.153,48.135,,,,,
280,09/13/17 12:47:47 PM,28.128,48.252,,,,,
281,09/13/17 12:48:47 PM,28.128,48.455,,,,,
282,09/13/17 12:49:47 PM,28.029,46.197,,,,,
283,09/13/17 12:50:47 PM,27.930,44.472,,,,,
284,09/13/17 12:51:47 PM,27.807,44.650,,,,,
285,09/13/17 12:52:47 PM,27.708,44.391,,,,,
286,09/13/17 12:53:47 PM,27.560,42.862,,,,,
287,09/13/17 12:54:47 PM,27.413,42.413,,,,,
288,09/13/17 12:55:00 PM,,,Logged,,,,
289,09/13/17 12:55:03 PM,,,,Logged,,,
290,09/14/17 08:56:06 AM,,,,,Logged,,
291,09/14/17 08:56:07 AM,,,,,,Logged,
292,09/14/17 08:56:47 AM,22.206,61.942,,,,,
293,09/14/17 08:57:47 AM,22.973,60.889,,,,,
294,09/14/17 08:58:47 AM,23.742,59.357,,,,,
295,09/14/17 08:59:47 AM,24.344,56.900,,,,,
296,09/14/17 09:00:47 AM,24.803,54.304,,,,,
297,09/14/17 09:01:47 AM,25.167,53.100,,,,,
298,09/14/17 09:02:47 AM,25.482,52.232,,,,,
299,09/14/17 09:03:47 AM,25.822,51.704,,,,,
